"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"/home/harryfoster/git/comp16321-labs_r49769hf/README.md", "Markdown", 0, 2, 0, 0, 1, 3
"/home/harryfoster/git/comp16321-labs_r49769hf/game_solution.py", "Python", 517, 0, 0, 79, 177, 773
"/home/harryfoster/git/comp16321-labs_r49769hf/src/animate.py", "Python", 63, 0, 0, 6, 24, 93
"/home/harryfoster/git/comp16321-labs_r49769hf/src/game.py", "Python", 240, 0, 0, 61, 95, 396
"/home/harryfoster/git/comp16321-labs_r49769hf/src/gameImage.py", "Python", 83, 0, 0, 4, 20, 107
"/home/harryfoster/git/comp16321-labs_r49769hf/src/leaderboard.json", "JSON", 0, 0, 1, 0, 0, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/leaderboard.py", "Python", 25, 0, 0, 0, 9, 34
"/home/harryfoster/git/comp16321-labs_r49769hf/src/maze.py", "Python", 192, 0, 0, 5, 45, 242
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/apple.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/bell.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/cherry.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/consumable.py", "Python", 7, 0, 0, 0, 1, 8
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/dot.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/energizer.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/galaxian.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/grapes.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/key.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/peach.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/strawberry.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Blinky.py", "Python", 33, 0, 0, 1, 6, 40
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Clyde.py", "Python", 38, 0, 0, 1, 7, 46
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Ghost.py", "Python", 285, 0, 0, 57, 92, 434
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Inky.py", "Python", 35, 0, 0, 2, 7, 44
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Pinky.py", "Python", 41, 0, 0, 1, 7, 49
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/ghost_state.py", "Python", 11, 0, 0, 0, 2, 13
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/map_objects/moveable.py", "Python", 21, 0, 0, 0, 6, 27
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/map_objects/wall.py", "Python", 6, 0, 0, 0, 2, 8
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/pacman.py", "Python", 123, 0, 0, 16, 40, 179
"/home/harryfoster/git/comp16321-labs_r49769hf/src/player.py", "Python", 6, 0, 0, 0, 1, 7
"/home/harryfoster/git/comp16321-labs_r49769hf/src/settings.py", "Python", 34, 0, 0, 7, 15, 56
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/fontTest.py", "Python", 32, 0, 0, 0, 9, 41
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/gifTest.py", "Python", 30, 0, 0, 0, 15, 45
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/pickleTest.py", "Python", 11, 0, 0, 0, 4, 15
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/scaleTest.py", "Python", 14, 0, 0, 5, 6, 25
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/testKeys.py", "Python", 20, 0, 0, 0, 5, 25
"/home/r49769hf/git/comp16321-labs_r49769hf/README.md", "Markdown", 0, -2, 0, 0, -1, -3
"/home/r49769hf/git/comp16321-labs_r49769hf/fontTest.py", "Python", -32, 0, 0, 0, -9, -41
"/home/r49769hf/git/comp16321-labs_r49769hf/game_solution.py", "Python", -242, 0, 0, -46, -102, -390
"/home/r49769hf/git/comp16321-labs_r49769hf/gifTest.py", "Python", -30, 0, 0, 0, -15, -45
"/home/r49769hf/git/comp16321-labs_r49769hf/scaleTest.py", "Python", -14, 0, 0, -5, -6, -25
"/home/r49769hf/git/comp16321-labs_r49769hf/src/animate.py", "Python", -61, 0, 0, -6, -23, -90
"/home/r49769hf/git/comp16321-labs_r49769hf/src/game.py", "Python", -115, 0, 0, -60, -50, -225
"/home/r49769hf/git/comp16321-labs_r49769hf/src/gameImage.py", "Python", -72, 0, 0, -4, -18, -94
"/home/r49769hf/git/comp16321-labs_r49769hf/src/leaderboard.json", "JSON", 0, 0, -1, 0, 0, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/leaderboard.py", "Python", -16, 0, 0, 0, -7, -23
"/home/r49769hf/git/comp16321-labs_r49769hf/src/maze.py", "Python", -96, 0, 0, -5, -33, -134
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/apple.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/bell.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/cherry.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/consumable.py", "Python", -7, 0, 0, 0, -1, -8
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/dot.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/energizer.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/galaxian.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/grapes.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/key.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/peach.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/consumable/strawberry.py", "Python", 0, 0, 0, 0, -1, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Blinky.py", "Python", -21, 0, 0, -1, -2, -24
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Clyde.py", "Python", -26, 0, 0, -1, -3, -30
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Ghost.py", "Python", -282, 0, 0, -51, -84, -417
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Inky.py", "Python", -22, 0, 0, -2, -3, -27
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Pinky.py", "Python", -32, 0, 0, -1, -4, -37
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/map_objects/moveable.py", "Python", -21, 0, 0, 0, -6, -27
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/map_objects/powerup.py", "Python", -8, 0, 0, -1, -2, -11
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/map_objects/wall.py", "Python", -4, 0, 0, 0, -1, -5
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/pacman.py", "Python", -101, 0, 0, -14, -31, -146
"/home/r49769hf/git/comp16321-labs_r49769hf/src/settings.py", "Python", -18, 0, 0, -7, -9, -34
"/home/r49769hf/git/comp16321-labs_r49769hf/testKeys.py", "Python", -20, 0, 0, 0, -5, -25
"Total", "-", 627, 0, 0, 41, 181, 849
