"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"/home/harryfoster/git/comp16321-labs_r49769hf/README.md", "Markdown", 2, 0, 0, 0, 1, 3
"/home/harryfoster/git/comp16321-labs_r49769hf/game_solution.py", "Python", 0, 846, 0, 101, 181, 1128
"/home/harryfoster/git/comp16321-labs_r49769hf/src/animate.py", "Python", 0, 79, 0, 12, 23, 114
"/home/harryfoster/git/comp16321-labs_r49769hf/src/game.py", "Python", 0, 293, 0, 76, 99, 468
"/home/harryfoster/git/comp16321-labs_r49769hf/src/gameImage.py", "Python", 0, 107, 0, 6, 22, 135
"/home/harryfoster/git/comp16321-labs_r49769hf/src/leaderboard.json", "JSON", 0, 0, 1, 0, 0, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/leaderboard.py", "Python", 0, 25, 0, 0, 11, 36
"/home/harryfoster/git/comp16321-labs_r49769hf/src/maze.py", "Python", 0, 225, 0, 10, 45, 280
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/apple.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/bell.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/cherry.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/consumable.py", "Python", 0, 7, 0, 0, 1, 8
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/dot.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/energizer.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/galaxian.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/grapes.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/key.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/peach.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/consumable/strawberry.py", "Python", 0, 0, 0, 0, 1, 1
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Blinky.py", "Python", 0, 37, 0, 1, 8, 46
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Clyde.py", "Python", 0, 43, 0, 1, 9, 53
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Ghost.py", "Python", 0, 353, 0, 68, 91, 512
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Inky.py", "Python", 0, 39, 0, 2, 8, 49
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Pinky.py", "Python", 0, 45, 0, 3, 8, 56
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/ghost_state.py", "Python", 0, 19, 0, 0, 4, 23
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/map_objects/moveable.py", "Python", 0, 35, 0, 2, 8, 45
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/map_objects/wall.py", "Python", 0, 8, 0, 0, 4, 12
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/pacman.py", "Python", 0, 156, 0, 22, 46, 224
"/home/harryfoster/git/comp16321-labs_r49769hf/src/player.py", "Python", 0, 9, 0, 0, 3, 12
"/home/harryfoster/git/comp16321-labs_r49769hf/src/settings.py", "Python", 0, 36, 0, 7, 16, 59
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/fontTest.py", "Python", 0, 32, 0, 0, 9, 41
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/gifTest.py", "Python", 0, 30, 0, 0, 15, 45
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/pickleTest.py", "Python", 0, 5, 0, 0, 3, 8
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/scaleTest.py", "Python", 0, 14, 0, 5, 6, 25
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/testKeys.py", "Python", 0, 20, 0, 0, 5, 25
"Total", "-", 2, 2463, 1, 316, 636, 3418
